epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,2532.86,1.25817,0.58827,0.00815,0.85205,0.81741,0.86089,0.43301,1.79237,0.81036,0.01296,0.0007328,0.0007328,0.0007328
98,2558.21,1.23651,0.59669,0.00798,0.86173,0.81652,0.86076,0.43602,1.77644,0.8084,0.01281,0.0007196,0.0007196,0.0007196
99,2583.28,1.23987,0.59368,0.00796,0.84925,0.82288,0.86326,0.4319,1.79097,0.82139,0.01293,0.0007064,0.0007064,0.0007064
100,2606.52,1.25628,0.60814,0.00801,0.86878,0.80348,0.85645,0.43317,1.79047,0.82988,0.01294,0.0006932,0.0006932,0.0006932
101,2631.44,1.22518,0.58263,0.00803,0.87176,0.78558,0.85067,0.43028,1.78683,0.84377,0.01291,0.00068,0.00068,0.00068
102,2656.8,1.22707,0.59263,0.00781,0.87095,0.79947,0.84808,0.43044,1.77217,0.83103,0.01285,0.0006668,0.0006668,0.0006668
103,2680.46,1.22956,0.58982,0.00792,0.85729,0.80917,0.85163,0.43369,1.77132,0.82502,0.01277,0.0006536,0.0006536,0.0006536
104,2705.73,1.22719,0.58141,0.00786,0.86116,0.7941,0.84519,0.42688,1.78817,0.84484,0.01295,0.0006404,0.0006404,0.0006404
105,2731.1,1.21431,0.578,0.00784,0.85983,0.81542,0.85399,0.4372,1.77501,0.81141,0.01277,0.0006272,0.0006272,0.0006272
106,2754.27,1.21909,0.59279,0.00789,0.86188,0.80094,0.84769,0.43421,1.77179,0.85335,0.01281,0.000614,0.000614,0.000614
107,2779.61,1.22994,0.58354,0.00792,0.86543,0.7927,0.84565,0.43465,1.77866,0.83233,0.01286,0.0006008,0.0006008,0.0006008
108,2804.79,1.22292,0.56997,0.00769,0.84752,0.81162,0.85006,0.43595,1.76441,0.83403,0.01276,0.0005876,0.0005876,0.0005876
109,2828.45,1.22563,0.57674,0.0079,0.86376,0.80227,0.85074,0.43499,1.78057,0.83211,0.01283,0.0005744,0.0005744,0.0005744
110,2855.7,1.20987,0.56999,0.00772,0.84653,0.81296,0.85278,0.43451,1.77215,0.83938,0.01282,0.0005612,0.0005612,0.0005612
111,2881.94,1.20454,0.57038,0.0078,0.87189,0.79866,0.85464,0.43763,1.7565,0.81771,0.01272,0.000548,0.000548,0.000548
112,2904.96,1.21374,0.57829,0.00775,0.85724,0.80895,0.85448,0.43528,1.79073,0.81563,0.01294,0.0005348,0.0005348,0.0005348
113,2931.01,1.20311,0.57622,0.0077,0.86736,0.80664,0.85145,0.4331,1.77381,0.82459,0.01286,0.0005216,0.0005216,0.0005216
114,2957.62,1.18986,0.56023,0.0076,0.85555,0.80846,0.84827,0.42832,1.79641,0.82672,0.013,0.0005084,0.0005084,0.0005084
115,2981.7,1.21355,0.57928,0.00769,0.86179,0.81407,0.85736,0.43717,1.77816,0.79044,0.01291,0.0004952,0.0004952,0.0004952
116,3007.58,1.18861,0.56224,0.00768,0.87284,0.79171,0.84623,0.43102,1.77341,0.82473,0.01288,0.000482,0.000482,0.000482
117,3033.49,1.20215,0.57407,0.00765,0.86128,0.81156,0.85204,0.42857,1.77882,0.82248,0.01291,0.0004688,0.0004688,0.0004688
118,3056.69,1.19181,0.56582,0.00756,0.86758,0.80405,0.85365,0.4322,1.76387,0.82384,0.01279,0.0004556,0.0004556,0.0004556
119,3082.83,1.18067,0.56455,0.00756,0.86623,0.80272,0.85405,0.43398,1.76028,0.8298,0.01278,0.0004424,0.0004424,0.0004424
120,3109.74,1.19035,0.56261,0.00766,0.86379,0.80249,0.8455,0.42757,1.77302,0.82501,0.01287,0.0004292,0.0004292,0.0004292
121,3133,1.18304,0.56244,0.00752,0.86387,0.81096,0.85137,0.4327,1.7725,0.8159,0.0128,0.000416,0.000416,0.000416
122,3158.08,1.16981,0.55295,0.00736,0.86681,0.80205,0.85114,0.42967,1.7818,0.83389,0.01285,0.0004028,0.0004028,0.0004028
123,3184.13,1.17687,0.55569,0.00748,0.86121,0.81474,0.8551,0.43511,1.77973,0.81177,0.01284,0.0003896,0.0003896,0.0003896
124,3208.36,1.18792,0.56256,0.00756,0.87238,0.8067,0.85287,0.43341,1.77868,0.8177,0.01287,0.0003764,0.0003764,0.0003764
125,3232.5,1.17845,0.54969,0.00758,0.87525,0.79051,0.8464,0.42996,1.7778,0.8421,0.01285,0.0003632,0.0003632,0.0003632
126,3258.49,1.17229,0.54777,0.00755,0.864,0.80209,0.84556,0.43004,1.78044,0.83295,0.01286,0.00035,0.00035,0.00035
